文件,函数名,函数签名,起始行,总行数,已执行行数,行覆盖率(%)
lighttpd1-gcov/src/log.c,log_buffer_prepare,"log_buffer_prepare (const log_error_st * const errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>248</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                    const char * const restrict filename,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>249</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                    const unsigned int line)",246,51,13,25.49
lighttpd1-gcov/src/log.c,__attribute_nonnull__,__attribute_nonnull__(),250,51,12,23.53
lighttpd1-gcov/src/log.c,log_error_write,"log_error_write (const log_error_st * const errh, buffer * const restrict b)",263,51,6,11.76
lighttpd1-gcov/src/log.c,log_error_append_winerror,"log_error_append_winerror (buffer * const b, DWORD dwMessageId)",265,51,5,9.80
lighttpd1-gcov/src/log.c,log_error_append_strerror,"log_error_append_strerror (buffer * const b, const int errnum)",284,51,6,11.76
lighttpd1-gcov/src/log.c,log_error_va_list_impl,"log_error_va_list_impl (const log_error_st *errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>313</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const char * const restrict filename,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>314</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const unsigned int line,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>315</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const char * const restrict fmt, va_list ap,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>316</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                        const int perr)",302,51,12,23.53
lighttpd1-gcov/src/log.c,log_error,"log_error(log_error_st * const errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>348</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>          const char * const filename, const unsigned int line,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>349</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>          const char *fmt, ...)",317,51,14,27.45
lighttpd1-gcov/src/log.c,log_perror,"log_perror (log_error_st * const errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>360</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>            const char * const filename, const unsigned int line,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>361</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>            const char * const fmt, ...)",350,51,4,7.84
lighttpd1-gcov/src/log.c,log_serror,"log_serror (log_error_st * const errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>373</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>            const char * const filename, const unsigned int line,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>374</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>            const char * const fmt, ...)",362,51,0,0.00
lighttpd1-gcov/src/log.c,log_error_multiline,"log_error_multiline (log_error_st *errh,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>386</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const char * const restrict filename,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>387</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const unsigned int line,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>388</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const char * const restrict multiline,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>389</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const size_t len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>390</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const char * const restrict fmt, ...)",375,51,1,1.96
lighttpd1-gcov/src/log.c,log_set_global_errh,"log_set_global_errh (log_error_st * const errh, const int ts_high_precision)",391,46,5,10.87
lighttpd1-gcov/src/http_header.c,http_header_parse_hoff,"http_header_parse_hoff (const char *n, const uint32_t clen, unsigned short hoff[8192])",1,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_coalesce,"http_range_coalesce (off_t * const restrict ranges, int n)",1,51,3,5.88
lighttpd1-gcov/src/http_range.c,http_range_parse_next,"http_range_parse_next (const char * restrict s, const off_t len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>82</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                       off_t * const restrict ranges)",41,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_parse,"http_range_parse (const char * restrict s, const off_t content_length,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>114</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                  off_t ranges[RMAX*2])",83,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_single,"http_range_single (request_st * const r, const off_t ranges[2])",115,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_multi,"http_range_multi (request_st * const r,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>199</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                  const off_t ranges[RMAX*2], const int n)",153,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_not_satisfiable,"http_range_not_satisfiable (request_st * const r, const off_t content_length)",200,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_process,"http_range_process (request_st * const r, const buffer * const http_range)",277,51,0,0.00
lighttpd1-gcov/src/http_range.c,http_range_rfc7233,http_range_rfc7233 (request_st * const r),292,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),1,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),40,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),48,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),58,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),66,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),75,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),83,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),93,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),100,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),120,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),124,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),126,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),134,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),136,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),141,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),143,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),146,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),150,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),154,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),158,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),162,51,0,0.00
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),166,51,2,3.92
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),169,51,2,3.92
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),171,51,2,3.92
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),184,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),191,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),194,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),198,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),201,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),203,51,6,11.76
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),249,51,11,21.57
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),253,51,12,23.53
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),266,51,18,35.29
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),273,51,18,35.29
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),281,51,17,33.33
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),289,51,19,37.25
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),296,51,20,39.22
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),302,51,17,33.33
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),308,51,14,27.45
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),315,51,10,19.61
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),321,51,10,19.61
lighttpd1-gcov/src/buffer.h,__attribute_nonnull__,__attribute_nonnull__(),328,51,7,13.73
lighttpd1-gcov/src/http_date.c,http_date_parse_RFC_850,"http_date_parse_RFC_850 (const char *s, struct tm * const tm)",1,51,0,0.00
lighttpd1-gcov/src/http_date.c,http_date_parse_asctime,"http_date_parse_asctime (const char * const s, struct tm * const tm)",43,51,0,0.00
lighttpd1-gcov/src/http_date.c,http_date_parse_IMF_fixdate,"http_date_parse_IMF_fixdate (const char * const s, struct tm * const tm)",127,51,0,0.00
lighttpd1-gcov/src/http_date.c,http_date_str_to_tm,"http_date_str_to_tm (const char * const s, const uint32_t len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>238</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     struct tm * const tm)",181,51,0,0.00
lighttpd1-gcov/src/http_date.c,http_date_time_to_str,"http_date_time_to_str (char * const s, const size_t sz, const unix_time64_t t)",239,51,5,9.80
lighttpd1-gcov/src/http_date.c,http_date_if_modified_since,"http_date_if_modified_since (const char * const ifmod, const uint32_t ifmodlen,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>285</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                             const unix_time64_t lmtime)",269,30,4,13.33
lighttpd1-gcov/src/rand.c,li_arcfour_init_random_key_hashed,li_arcfour_init_random_key_hashed(struct arcfour_ctx *ctx),1,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_u32,h2_u32 (const uint8_t * const s),1,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_u31,h2_u31 (const uint8_t * const s),242,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_u24,h2_u24 (const uint8_t * const s),253,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_u16,h2_u16 (const uint8_t * const s),261,51,0,0.00
lighttpd1-gcov/src/h2.c,__attribute_nonnull__,__attribute_nonnull__(),279,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_get_stream_req,"h2_get_stream_req (const h2con * const h2c, const uint32_t h2id)",287,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_settings_ack,h2_send_settings_ack (connection * const con),290,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_rst_stream_id,"h2_send_rst_stream_id (uint32_t h2id, connection * const con, const request_h2error_t e)",301,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_rst_stream_state,"h2_send_rst_stream_state (request_st * const r, h2con * const h2c)",318,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_rst_stream,"h2_send_rst_stream (request_st * const r, connection * const con, const request_h2error_t e)",342,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_goaway_rst_stream,h2_send_goaway_rst_stream (connection * const con),356,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_goaway,"h2_send_goaway (connection * const con, const request_h2error_t e)",366,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_goaway_e,"h2_send_goaway_e (connection * const con, const request_h2error_t e)",382,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_refused_stream,"h2_send_refused_stream (uint32_t h2id, connection * const con)",426,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_goaway,"h2_recv_goaway (connection * const con, const uint8_t * const s, uint32_t len)",434,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_rst_stream,"h2_recv_rst_stream (connection * const con, const uint8_t * const s, const uint32_t len)",480,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_ping,"h2_recv_ping (connection * const con, uint8_t * const s, const uint32_t len)",516,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_apply_priority_update,"h2_apply_priority_update (h2con * const h2c, const request_st * const r, const uint32_t rpos)",560,51,0,0.00
lighttpd1-gcov/src/h2.c,__attribute_nonnull__,__attribute_nonnull__(),599,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_parse_priority_update,"h2_parse_priority_update (const char * const prio, const uint32_t len)",626,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_priority_update,"h2_recv_priority_update (connection * const con, const uint8_t * const s, const uint32_t len)",629,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_priority,"h2_recv_priority (connection * const con, const uint8_t * const s, const uint32_t len)",672,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_window_update,"h2_recv_window_update (connection * const con, const uint8_t * const s, const uint32_t len)",723,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_window_update,"h2_send_window_update (connection * const con, uint32_t h2id, const uint32_t len)",771,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_window_update_unit,"h2_send_window_update_unit (connection * const con, request_st * const r, const uint32_t len)",825,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_parse_frame_settings,"h2_parse_frame_settings (connection * const con, const uint8_t *s, uint32_t len)",850,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_settings,"h2_recv_settings (connection * const con, const uint8_t * const s, const uint32_t len)",861,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_end_data,"h2_recv_end_data (request_st * const r, connection * const con, const uint32_t alen)",944,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_data,"h2_recv_data (connection * const con, const uint8_t * const s, const uint32_t len)",975,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_reqbody,h2_recv_reqbody (request_st * const r),995,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_frame_cq_compact,"h2_frame_cq_compact (chunkqueue * const cq, uint32_t len)",1201,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_continuation,"h2_recv_continuation (uint32_t n, uint32_t clen, const off_t cqlen, chunkqueue * const cq, connection * const con)",1232,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_trailers_r,"h2_recv_trailers_r (connection * const con, h2con * const h2c, const uint32_t id, const uint32_t flags)",1248,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_parse_headers_frame,"h2_parse_headers_frame (request_st * const restrict r, const unsigned char *psrc, const uint32_t plen, const int trailers)",1383,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_headers,"h2_recv_headers (connection * const con, uint8_t * const s, uint32_t flen)",1420,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_parse_frames,h2_parse_frames (connection * const con),1535,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_want_read,h2_want_read (connection * const con),1741,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_client_connection_preface,h2_recv_client_connection_preface (connection * const con),1882,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_read_client_connection_preface,"h2_read_client_connection_preface (struct connection * const con, chunkqueue * const cq, off_t max_bytes)",1921,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_goaway_graceful,h2_send_goaway_graceful (connection * const con),1954,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_init_con,"h2_init_con (request_st * const restrict h2r, connection * const restrict con)",1981,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_hpack,"h2_send_hpack (request_st * const r, connection * const con, const char *data, uint32_t dlen, const uint32_t flags)",1996,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_log_response_header_lsx,"h2_log_response_header_lsx(request_st * const r, const lsxpack_header_t * const lsx)",2077,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_log_response_header,"h2_log_response_header(request_st * const r, const int len, const char * const hdr)",2152,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_headers,"h2_send_headers (request_st * const r, connection * const con)",2163,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_headers_block,"h2_send_headers_block (request_st * const r, connection * const con, const char * const hdrs, const uint32_t hlen, uint32_t flags)",2171,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_1xx_block,"h2_send_1xx_block (request_st * const r, connection * const con, const char * const hdrs, const uint32_t hlen)",2394,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_1xx,"h2_send_1xx (request_st * const r, connection * const con)",2485,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_100_continue,"h2_send_100_continue (request_st * const r, connection * const con)",2492,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_recv_expect_100,h2_recv_expect_100 (request_st * const r),2516,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_end_stream_trailers,"h2_send_end_stream_trailers (request_st * const r, connection * const con, const buffer * const trailers)",2535,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_cqheaders,"h2_send_cqheaders (request_st * const r, connection * const con)",2560,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_data,"h2_send_data (request_st * const r, connection * const con, const char *data, uint32_t dlen)",2600,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_cqdata,"h2_send_cqdata (request_st * const r, connection * const con, chunkqueue * const cq, uint32_t dlen)",2620,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_end_stream_data,"h2_send_end_stream_data (request_st * const r, connection * const con)",2694,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_end_stream,"h2_send_end_stream (request_st * const r, connection * const con)",2791,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_init_stream,"h2_init_stream (request_st * const h2r, connection * const con)",2824,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_release_stream,"h2_release_stream (request_st * const r, connection * const con)",2852,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_retire_stream,"h2_retire_stream (request_st *r, connection * const con)",2891,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_retire_con,"h2_retire_con (request_st * const h2r, connection * const con)",2917,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_con_upgrade_h2c,"h2_con_upgrade_h2c (request_st * const h2r, connection * const con)",2937,51,0,0.00
lighttpd1-gcov/src/h2.c,__attribute_nonnull__,__attribute_nonnull__(),2987,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_upgrade_h2c,"h2_upgrade_h2c (request_st * const r, connection * const con)",3090,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_send_goaway_delayed,h2_send_goaway_delayed (connection * const con),3092,51,0,0.00
lighttpd1-gcov/src/h2.c,h2_check_timeout,"h2_check_timeout (connection * const con, const unix_time64_t cur_ts)",3127,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,Comparison,"Comparison (single thread, Windows Seven 32 bits, using SMHasher on a Core 2 Duo @3GHz)",1,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH_readLE32_align,"XXH_readLE32_align(const void* ptr, XXH_alignment align)",64,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH32_finalize,"XXH32_finalize(xxh_u32 h32, const xxh_u8* ptr, size_t len, XXH_alignment align)",1882,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH32_endian_align,"XXH32_endian_align(const xxh_u8* input, size_t len, xxh_u32 seed, XXH_alignment align)",2015,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH32_update,"XXH32_update(XXH32_state_t* state, const void* input, size_t len)",2104,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH_readLE64_align,"XXH_readLE64_align(const void* ptr, XXH_alignment align)",2195,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH64_finalize,"XXH64_finalize(xxh_u64 h64, const xxh_u8* ptr, size_t len, XXH_alignment align)",2421,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH64_endian_align,"XXH64_endian_align(const xxh_u8* input, size_t len, xxh_u64 seed, XXH_alignment align)",2482,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH64_update,"XXH64_update (XXH64_state_t* state, const void* input, size_t len)",2518,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH_mult32to64,"XXH_mult32to64(xxh_u64 x, xxh_u64 y)",2610,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH_mult64to128,"XXH_mult64to128(xxh_u64 lhs, xxh_u64 rhs)",3258,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_mul128_fold64,"XXH3_mul128_fold64(xxh_u64 lhs, xxh_u64 rhs)",3285,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_1to3_64b,"XXH3_len_1to3_64b(const xxh_u8* input, size_t len, const xxh_u8* secret, XXH64_hash_t seed)",3419,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_4to8_64b,"XXH3_len_4to8_64b(const xxh_u8* input, size_t len, const xxh_u8* secret, XXH64_hash_t seed)",3494,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_9to16_64b,"XXH3_len_9to16_64b(const xxh_u8* input, size_t len, const xxh_u8* secret, XXH64_hash_t seed)",3516,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_0to16_64b,"XXH3_len_0to16_64b(const xxh_u8* input, size_t len, const xxh_u8* secret, XXH64_hash_t seed)",3532,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_17to128_64b,"XXH3_len_17to128_64b(const xxh_u8* XXH_RESTRICT input, size_t len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3619</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     const xxh_u8* XXH_RESTRICT secret, size_t secretSize,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3620</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                     XXH64_hash_t seed)",3549,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_len_129to240_64b,"XXH3_len_129to240_64b(const xxh_u8* XXH_RESTRICT input, size_t len,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3649</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                      const xxh_u8* XXH_RESTRICT secret, size_t secretSize,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3650</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                      XXH64_hash_t seed)",3621,51,0,0.00
lighttpd1-gcov/src/algo_xxhash.h,XXH3_scalarRound,"XXH3_scalarRound(void* XXH_RESTRICT acc,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3762</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                 void const* XXH_RESTRICT input,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3763</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                 void const* XXH_RESTRICT secret,</pre></td>
    </tr>

    <tr>
    <td align=""right"" class=""lineno""><pre>3764</pre></td>
    <td align=""right"" class=""linebranch""></td>
    <td align=""right"" class=""linecount ""><pre></pre></td>
    <td align=""left"" class=""src ""><pre>                 size_t i)",3651,51,0,0.00
